,Robot,Traditional_Scoring_High,Traditional_Scoring_Low,Technical_Scoring,Autonomous_Scoring,Endgame,Fouls,Defense,Competition,Year
0,frc2130,0.031110004977600796,0.0,1.0,0.7671725239616614,0.7252747252747254,0.8408460471567267,0.5625561807104574,2017abca,2017
1,frc3354,0.0,0.0,1.0,0.549302933488237,0.6713286713286715,0.6862312444836717,0.4603821952924726,2017abca,2017
2,frc5015,0.0,0.0,1.0,1.0,0.8959276018099548,0.6581953169617362,0.17470218103554636,2017abca,2017
3,frc5883,0.03871467286101433,0.0,1.0,0.5431309904153355,0.5128205128205129,0.4126213592233009,0.6026567233745049,2017abca,2017
4,frc5897,0.0037332005973120955,0.0,1.0,0.8757987220447285,0.8901098901098903,0.466366158113731,0.17610780037953208,2017abca,2017
5,frc6679,0.0,0.0,1.0,0.5171059637912674,1.0,0.8616504854368932,0.38251573059892796,2017abca,2017
6,frc4774,0.04936120789779327,0.0,0.9786324786324786,0.6834398296059638,0.8076923076923078,0.5703883495145631,0.31714635283150794,2017abca,2017
7,frc4604,0.03919860627177701,0.0,0.9572649572649573,0.6958865814696485,0.8076923076923078,0.5157766990291262,0.2652353763691446,2017abca,2017
8,frc5725,0.007742934572202865,0.0,0.9715099715099714,0.4224352147674832,0.7692307692307693,0.14563106796116496,0.2770915870426474,2017abca,2017
9,frc6178,0.1916376306620209,0.0,0.9715099715099714,0.3922612708555201,0.25641025641025644,0.6553398058252428,0.5154975530179444,2017abca,2017
10,frc6364,0.0019357336430507162,0.0,0.9715099715099714,0.6276180333688322,0.4102564102564103,0.7524271844660193,0.2988813796317875,2017abca,2017
11,frc6406,0.0,0.0,0.9816849816849816,0.6439981743496122,0.9230769230769232,0.7784327323162276,0.34749642108066725,2017abca,2017
12,frc5118,0.16647309330236162,0.0,0.9430199430199431,0.25798722044728434,0.5641025641025642,0.4368932038834951,0.6962246562572829,2017abca,2017
13,frc6008,0.0015837820715869496,1.0,0.9766899766899767,0.7122422306128376,0.7552447552447552,0.8451015004413062,0.5453274295036126,2017abca,2017
14,frc6458,0.09819448843839088,0.10719754977029099,0.9766899766899767,0.5826314260819053,0.7132867132867132,0.7259488084730803,0.4415054765788863,2017abca,2017
15,frc4191,0.0,0.06837221871903432,1.0,0.6669329073482428,0.7873303167420815,0.8766419189034838,0.14959491137401154,2017abca,2017
16,frc6408,0.0,0.16658158924621405,0.9145299145299144,0.3771742988995386,0.717948717948718,0.7524271844660193,0.5718946632486602,2017abca,2017
17,frc5078,0.001244400199104032,0.07219426821264494,0.9633699633699634,0.6527270652670013,0.8241758241758242,0.6536061026352288,0.1645720278323402,2017abca,2017
18,frc5630,0.01866600298656048,0.09625902428352659,0.9633699633699634,0.6672752167959837,0.7252747252747254,0.6536061026352288,0.26180211073009935,2017abca,2017
19,frc6351,0.0019357336430507162,0.0580228007486813,0.9715099715099714,0.4420482783102592,0.5128205128205129,0.36407766990291257,0.4719179678396645,2017abca,2017
20,frc5515,0.0,0.18529862174578865,1.0,0.7253061767838126,0.7692307692307693,0.9890776699029126,0.024906781635982138,2017abca,2017
21,frc6390,0.0015837820715869496,0.11944869831546709,1.0,0.6924920127795527,0.6293706293706295,0.7855251544571933,0.12374737823351215,2017abca,2017
22,frc3216,0.03290747193186218,0.0018717032499574611,0.9715099715099714,0.4345047923322684,0.5641025641025642,0.2669902912621358,0.24376602190631572,2017abca,2017
23,frc6169,0.061943476577622926,0.0018717032499574611,0.9715099715099714,0.7377529286474974,0.5128205128205129,0.8009708737864077,0.8436261943602892,2017abca,2017
24,frc4625,0.0038714672861014324,0.0018717032499574611,0.9430199430199431,0.4224352147674832,0.4102564102564103,0.33980582524271846,0.5757399207643908,2017abca,2017
25,frc6719,0.0038714672861014324,0.0018717032499574611,0.9430199430199431,0.22630457933972314,0.4102564102564103,0.46116504854368934,0.6116289909112098,2017abca,2017
26,frc4733,0.054200542005420065,0.01497362599965969,1.0,0.792066027689031,0.4102564102564103,0.8252427184466019,0.6065019808902355,2017abca,2017
27,frc6724,0.0038714672861014324,0.01497362599965969,1.0,0.5431309904153355,0.358974358974359,0.970873786407767,0.6090654859007228,2017abca,2017
28,frc5597,0.0,0.01497362599965969,0.9145299145299144,0.38471778487752933,0.4615384615384616,0.0,0.21556746679095767,2017abca,2017
29,frc6700,0.10452961672473868,0.05989450399863876,1.0,0.43299609513667026,0.6666666666666669,0.5582524271844661,0.4244931251456536,2017abca,2017
30,frc6701,0.03484320557491289,0.24332142249446997,1.0,0.45562655307064254,0.6153846153846155,0.6796116504854368,0.8064553717082269,2017abca,2017
31,frc244,0.002049600327936053,0.07629943248356004,1.0,0.8642172523961662,0.9230769230769232,0.7352941176470588,0.23780964261724294,2017abca,2017
32,frc216,0.06678281068524973,0.015441551812149054,1.0,0.6347843450479234,0.9615384615384617,0.9526699029126213,0.4498077371242138,2017abca,2017
33,frc6703,0.10259388308168797,0.018717032499574612,0.9430199430199431,0.3092829250976216,0.5128205128205129,0.12135922330097086,0.6065019808902355,2017abca,2017
34,frc6188,0.0019357336430507162,0.2994725199931938,0.9715099715099714,0.460152644657437,0.5641025641025642,0.5825242718446602,0.7295502213936147,2017abca,2017
35,frc6673,0.0019357336430507162,0.039305768249106685,1.0,0.3575612353567625,0.4102564102564103,0.4368932038834951,0.7654392915404337,2017abca,2017
36,frc6563,0.09872241579558654,0.020588735749532072,1.0,0.40885694000709977,0.4615384615384616,0.8009708737864077,0.7846655791190864,2017abca,2017
37,frc6485,0.0,0.08422664624808576,0.9430199430199431,0.538604898828541,0.30769230769230776,0.3883495145631068,0.43346539268235856,2017abca,2017
38,frc4627,0.07217521154803384,0.16845329249617153,1.0,0.9242925604746691,0.7252747252747254,0.8720527045769764,0.8913256983054234,2017abca,2017
39,frc3933,0.05384859043395629,0.12710566615620214,1.0,0.6431164681963405,0.7552447552447552,0.8451015004413062,0.42577487765089694,2017abca,2017
40,frc6403,0.0019357336430507162,0.005615109749872384,1.0,0.6411963081292155,0.5128205128205129,0.970873786407767,0.6116289909112098,2017abca,2017
41,frc288,0.04500580720092916,0.04492087799897907,1.0,0.7479366347177849,0.8846153846153847,0.8434466019417476,0.49498951293404797,2017abca,2017
42,frc1482,0.5993031358885018,0.0011230219499744768,1.0,0.6807241746538872,0.8307692307692308,1.0,0.30503379165695654,2017abca,2017
43,frc2122,1.0,0.0011230219499744768,1.0,0.9432374866879659,0.9846153846153848,0.8689320388349515,0.4680727103239339,2017abca,2017
44,frc4334,0.578397212543554,0.0011230219499744768,1.0,0.8690095846645368,0.9230769230769232,0.7961165048543688,0.4542297832673036,2017abca,2017
45,frc4010,0.015837820715869498,0.0015313935681470136,1.0,0.5431309904153355,0.7132867132867132,0.527360988526037,0.0,2017abca,2017
46,frc6041,0.04452187379016647,0.14786455674663943,0.9715099715099714,0.4873091941782038,0.358974358974359,0.6553398058252428,0.42833838266138424,2017abca,2017
47,frc4634,0.023228803716608595,0.1553513697464693,0.9430199430199431,0.4224352147674832,0.6666666666666669,0.5582524271844661,1.0,2017abca,2017
48,frc180,0.023074906039681844,0.3311827956989247,1.0,1.0,1.0,0.6860511858501943,0.44252015527022986,2017alhu,2017
49,frc2016,0.08558692421991083,0.02437275985663083,1.0,0.6628571428571429,0.9066666666666668,0.8413059984813972,0.5238578680203045,2017alhu,2017
50,frc5845,0.06775631500742943,0.032903225806451615,1.0,0.45,0.5950000000000001,0.27334851936218674,0.5106598984771573,2017alhu,2017
51,frc3490,0.3491827637444279,0.003046594982078853,1.0,0.8571428571428572,0.8145833333333334,0.8162490508731967,0.5507614213197968,2017alhu,2017
52,frc34,0.05468053491827638,0.0,1.0,0.8361904761904762,0.8783333333333334,0.8413059984813972,0.3891708967851102,2017alhu,2017
53,frc1758,0.1676077265973254,0.03655913978494624,1.0,0.5314285714285715,0.7225,0.7494305239179954,0.9055837563451775,2017alhu,2017
54,frc4471,0.04814264487369985,0.13892473118279572,1.0,0.2914285714285714,0.7225,0.9248291571753987,1.0,2017alhu,2017
55,frc179,0.20977187308801679,0.0,1.0,0.7773109243697479,0.9750000000000001,0.8776631381481977,0.3033741415347864,2017alhu,2017
56,frc442,0.051870863163582324,0.013294232649071359,1.0,0.5792207792207793,0.4250000000000001,0.43280182232346237,0.6100599907706509,2017alhu,2017
57,frc343,0.057606583609555374,0.028122415219189418,1.0,0.8065934065934066,0.8500000000000002,0.5431925705274225,0.12573213588442012,2017alhu,2017
