,year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
0,2018,2018iscmp,2018iscmp_qf3m2,qf3m2,367,321,1,0,0.045016077170418,1.0,0.9660297239915072,1.0,0.2222222222222222,0.0841121495327104,0.1702811244979918,0.8860817638952687,0.9012605042016806,0.8134667879890808,0.9329962073324906,0.4761904761904761,0.0,0.4716006884681583
3,2019,2019dar,2019dar_qf3m3,qf3m3,68,113,0,1,0.4047619047619047,0.6805555555555557,0.6712962962962964,0.8222222222222223,0.4444444444444445,0.6666666666666666,0.6446140797285836,0.6428571428571429,0.9375,0.8020833333333334,0.775,0.6770833333333334,0.9642857142857144,0.9198473282442752
4,2019,2019gal,2019gal_sf2m2,sf2m2,90,105,0,1,0.6,0.9375,0.6549295774647887,0.9,0.4583333333333333,0.3571428571428572,0.5490196078431372,0.9333333333333332,0.9375,1.0,0.8000000000000002,0.5972222222222222,0.8571428571428572,0.3267973856209148
5,2019,2019milan,2019milan_qf1m2,qf1m2,60,91,0,1,0.0,0.75,0.4615384615384615,1.0,0.2083333333333333,1.0,0.0,1.0,0.9583333333333334,0.923076923076923,0.9333333333333332,0.5138888888888888,0.6578947368421053,1.0
7,2019,2019utwv,2019utwv_qf4m3,qf4m3,64,70,0,1,0.0,0.9047619047619048,0.8666666666666666,1.0,0.5833333333333334,0.5555555555555556,0.7318295739348369,0.1391304347826087,0.8000000000000002,0.7999999999999999,0.9200000000000004,0.4166666666666667,1.0,0.7037593984962406
8,2017,2017alhu,2017alhu_sf1m3,sf1m3,312,261,1,0,0.0,0.0,1.0,0.6435786435786436,0.8571428571428572,0.7857142857142859,0.723327305605786,0.0069868995633187,0.0,1.0,0.7393939393939396,0.9333333333333332,1.0,1.0
9,2019,2019cthar,2019cthar_f1m1,f1m1,56,92,0,1,0.489795918367347,0.9655172413793104,0.8571428571428571,0.9142857142857144,0.3095238095238095,0.8831168831168833,0.1411764705882355,1.0,0.9195402298850576,1.0,1.0,0.4305555555555556,0.9696969696969696,1.0
11,2018,2018wimi,2018wimi_sf1m2,sf1m2,189,440,0,1,0.2851370851370851,0.7308641975308644,0.7349753694581281,0.8140625,0.3888888888888888,0.362962962962963,0.4302193338748983,1.0,0.9469135802469136,1.0,1.0,0.425925925925926,0.7777777777777778,1.0
12,2017,2017cmpmo,2017cmpmo_sf1m15,sf1m15,535,532,1,0,0.6729821902235694,0.7113218731475993,1.0,0.78177727784027,0.9523809523809524,0.2857142857142857,0.283453887884267,0.9431602879878742,0.998814463544754,1.0,0.9595050618672666,0.9087301587301588,0.7718253968253967,0.3603074141048824
13,2019,2019cars,2019cars_qf4m1,qf4m1,75,90,0,1,0.5212765957446809,0.875,0.681818181818182,1.0,0.4583333333333333,0.1999999999999999,0.0,0.8936170212765958,0.9791666666666666,0.984848484848485,1.0,0.5208333333333334,0.8222222222222223,0.7157328268439379
