,year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
5,2017,2017lake,2017lake_qf4m1,qf4m1,255,365,0,1,0.006727332792744,0.0032760032760032,1.0,0.8854166666666666,0.7624633431085046,0.7575757575757575,0.3385689354275742,0.8860257680872149,0.4617117117117117,0.9946581196581196,0.7457682291666666,0.8629032258064516,0.8508771929824562,0.0762652705061081
6,2019,2019txpas,2019txpas_f1m2,f1m2,76,77,0,1,0.4523809523809524,0.8717948717948718,0.7324427480916031,0.9047619047619048,0.5246268656716417,0.5448453608247422,0.2000000000000001,0.6536796536796537,0.8232118758434548,0.8447837150127228,0.9237379162191192,0.6069651741293532,0.6323928377645144,0.3535834266517357
14,2017,2017mrcmp,2017mrcmp_qf2m1,qf2m1,317,308,1,0,0.1252987541317061,0.0,1.0,0.9105032083755488,0.8288065843621398,0.8292682926829268,0.2774298920410923,0.1175478742623148,0.0631578947368421,1.0,0.8578894043619688,0.9814814814814814,0.7573812580231065,0.3818516598714185
39,2017,2017onto1,2017onto1_qf3m1,qf3m1,255,318,0,1,0.0479910714285714,0.0244897959183673,1.0,0.5386117984112514,0.7781954887218046,0.6048632218844986,0.4332782088792772,0.0247395833333333,0.7390476190476191,0.9952516619183286,0.8251460211350822,0.8947368421052633,0.4278959810874705,0.230335411101217
51,2019,2019pncmp,2019pncmp_sf2m1,sf2m1,100,73,1,0,0.4884884884884884,0.8478260869565216,0.6220095693779905,0.9518518518518518,0.6419753086419753,0.5004516711833785,0.5367521367521366,0.8042042042042041,0.887469806763285,0.6559808612440191,0.8908333333333333,0.4566666666666667,0.4958672086720867,0.7294017094017092
53,2019,2019mdoxo,2019mdoxo_sf1m3,sf1m3,66,48,1,0,0.6277777777777778,0.789344262295082,0.7853018372703412,0.7696517412935324,0.3809523809523809,0.8864265927977839,0.3958614484930272,0.5751633986928105,0.8187078109932497,0.7664041994750656,0.8030436055019022,0.5714285714285714,0.8271142251914617,0.4642375168690957
55,2019,2019mdowi,2019mdowi_qf1m1,qf1m1,61,69,0,1,0.6074829931972788,0.7991513437057991,0.7228070175438597,0.903289150711831,0.2738095238095238,0.7531022678647838,0.4651040984679848,0.7959183673469387,0.8475396411821633,0.7156048014773777,0.7965790765573728,0.668546365914787,0.7508501677814562,0.3649683328394309
65,2017,2017txwa,2017txwa_qf1m1,qf1m1,333,315,1,0,0.0024077046548956,0.0,1.0,0.5780531925295785,0.8474025974025974,0.5082137658556874,0.2083551861863069,0.4646165976739602,0.0078347578347578,1.0,0.6950858780535641,0.8771929824561404,0.7798632923891483,0.4655037921138786
66,2019,2019iri,2019iri_f1m2,f1m2,72,93,0,1,0.7492977528089887,0.83203125,0.7655864197530864,0.9708333333333332,0.4404761904761904,0.8125,0.634274193548387,0.8728932584269661,0.7734375,0.9234567901234568,0.9791666666666666,0.7380952380952381,0.7531250000000002,0.7310483870967744
68,2017,2017mimid,2017mimid_qf1m1,qf1m1,255,306,0,1,0.1410934744268077,0.0529550827423167,0.9886039886039888,0.5278911564625851,0.8088888888888889,0.3163841807909605,0.3312890403180006,0.200501253132832,0.0627099664053751,1.0,0.7599952261606399,0.8631578947368421,0.7725245316681534,0.728383992348844
77,2017,2017gagai,2017gagai_qf2m1,qf2m1,250,235,1,0,0.0267139479905437,0.0144144144144144,0.982905982905983,0.9328309178743962,0.7035525321239607,0.576923076923077,0.2361137743688076,0.064246975385899,0.1971383147853736,0.9798893916540976,0.8569479965899403,0.8739495798319328,0.6184012066365008,0.2535113817200579
119,2017,2017mitry,2017mitry_sf2m2,sf2m2,244,372,0,1,0.0314182245277478,0.0398481973434535,0.9949723479135244,0.6654411764705882,0.8784313725490195,0.5194585448392556,0.1483290096139173,0.264281752634498,0.1839904420549581,0.9952516619183286,0.8243634259259259,0.9246913580246912,0.8917089678511,0.3938145378706958
121,2017,2017mesh,2017mesh_qf3m1,qf3m1,265,305,0,1,0.1334291187739463,0.2772861356932153,1.0,0.7623456790123456,0.9002976190476192,0.7056074766355142,0.5450121654501215,0.0477882270985719,0.0343255564494502,1.0,0.7537598204264871,0.8928571428571429,0.4621920135938827,0.256359212563592
125,2019,2019onto1,2019onto1_qf4m1,qf4m1,60,56,1,0,0.2589473684210526,0.9182825484764544,0.5263157894736843,0.9782608695652174,0.2241086587436332,0.3485663579391049,0.3314226159458051,0.0879999999999999,0.7356725146198829,0.4006734006734007,0.95,0.4322580645161289,0.7836318932209343,0.5927392739273928
144,2019,2019onto1,2019onto1_qf3m1,qf3m1,50,66,0,1,0.1759999999999999,0.7456140350877192,0.292929292929293,0.8903381642512077,0.2387096774193548,0.631190727081138,0.4000000000000002,0.1411764705882352,0.7953216374269005,0.487225193107546,0.8422847399829498,0.4497153700189753,0.4949482427322877,0.7338380896913218
145,2019,2019pascs,2019pascs_sf1m11,sf1m11,58,42,1,0,0.8484848484848485,0.9053030303030304,0.9029535864978904,0.8256410256410257,0.4962962962962963,0.7647306397306397,0.8024473813020068,0.3737373737373737,0.9280303030303032,0.5738396624472575,0.9487179487179488,0.3481481481481481,0.7319023569023568,0.6026431718061671
148,2019,2019vabrb,2019vabrb_sf2m2,sf2m2,40,58,0,1,0.5797940797940798,0.7848101265822786,0.7653061224489797,0.6857142857142856,0.2643343051506317,0.6041666666666666,0.2385321100917431,0.4566441441441441,0.9143087614792752,0.5676645658263305,0.7497058823529411,0.5671768707482994,0.3206954656862745,0.1603480841878036
179,2017,2017micmp4,2017micmp4_sf1m2,sf1m2,345,457,0,1,0.107148581503446,0.0,1.0,0.943515020687174,0.8895265423242469,0.598902773544651,0.1239983812221769,0.1320844686648501,0.9746153846153844,1.0,0.9252675840978594,0.902439024390244,0.7979274611398964,0.2280857952246048
185,2017,2017mnmi2,2017mnmi2_qf3m1,qf3m1,235,451,0,1,0.0262472195741976,0.1066666666666666,1.0,0.7934959349593497,0.7428571428571429,0.7333333333333334,0.3111111111111114,0.1132702696096404,0.0298368298368298,1.0,0.7060662914321453,0.8571428571428572,0.5108481262327416,0.4071912761567934
189,2017,2017vahay,2017vahay_f1m1,f1m1,310,305,1,0,0.0721068726863029,0.0404858299595141,0.9865047233468288,0.903030303030303,0.9,0.5597876269621421,0.2023866201833733,0.036289500509684,0.0102564102564102,0.9914529914529916,0.7421212121212122,0.7758333333333335,0.850877192982456,0.0878319229646921
205,2019,2019milsu,2019milsu_qf1m2,qf1m2,71,78,0,1,0.419047619047619,0.8604143947655398,0.6707717569786537,0.9428571428571428,0.3105590062111801,0.4369747899159664,0.3079307672436059,0.8518518518518517,0.9923664122137404,0.8401979565772669,0.8444444444444444,0.642512077294686,0.5424836601307189,0.2621200378885731
